File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\USAMA\Desktop\EventHub\db2.sqlite3,98,97,0,0,1,3,0,483,0,0
C:\Users\USAMA\Desktop\EventHub\db.sqlite3,1201,1163,0,0,38,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\manage.py,23,21,0,1,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\admin.py,5,3,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\apps.py,9,5,0,0,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\models.py,19,13,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\services.py,79,68,9,18,11,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\tests.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\urls.py,6,4,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\views.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\api\serializers.py,9,6,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\api\urls.py,14,11,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\api\views.py,22,17,0,3,5,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\migrations\0001_initial.py,30,23,1,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\migrations\0002_auto_20200107_2020.py,36,29,0,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\migrations\0003_auto_20200211_1117.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\attendee\migrations\0004_auto_20200330_1621.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\admin.py,5,3,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\apps.py,9,5,0,0,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\models.py,25,18,0,1,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\services.py,84,76,3,17,8,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\tests.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\urls.py,6,4,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\views.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\api\serializers.py,11,7,0,0,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\api\urls.py,7,5,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\api\views.py,23,17,0,3,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\migrations\0001_initial.py,31,24,1,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\migrations\0002_auto_20200107_2020.py,36,29,0,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\migrations\0003_auto_20200210_2346.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\comments\migrations\0004_auto_20200222_1519.py,27,21,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\EventHub\settings.py,184,134,10,0,50,8,0,8,0,0
C:\Users\USAMA\Desktop\EventHub\EventHub\urls.py,37,33,1,1,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\EventHub\views.py,26,21,0,1,5,1,0,3,0,0
C:\Users\USAMA\Desktop\EventHub\EventHub\wsgi.py,17,10,0,0,7,1,0,1,0,0
C:\Users\USAMA\Desktop\EventHub\events\admin.py,13,8,0,0,5,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\apps.py,9,5,0,0,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\models.py,48,37,0,1,11,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\services.py,658,587,23,113,71,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\tests.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\urls.py,6,4,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\views.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\api\serializers.py,24,17,0,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\api\urls.py,9,7,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\api\views.py,137,106,1,25,31,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations\0001_initial.py,65,58,2,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations\0002_auto_20200107_2020.py,41,34,0,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations\0003_event_remaining_tickets.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations\0004_event_self.py,22,16,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations\0005_registration_event_title.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations\0006_auto_20200131_1046.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations\0007_auto_20200207_1358.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\events\migrations\0008_event_user_name.py,22,16,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\admin.py,6,3,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\apps.py,9,5,0,0,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\models.py,22,16,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\services.py,136,118,4,16,18,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\tests.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\urls.py,7,5,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\views.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\api\serializers.py,10,7,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\api\urls.py,14,11,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\api\views.py,24,18,0,3,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\migrations\0001_initial.py,38,31,1,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\notification\migrations\0002_auto_20200328_1600.py,22,16,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\admin.py,6,3,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\apps.py,9,5,0,0,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\models.py,19,13,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\tests.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\urls.py,7,5,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\views.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\api\serializers.py,9,6,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\api\urls.py,14,11,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\api\views.py,20,13,0,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\migrations\0001_initial.py,35,28,1,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\payment\migrations\0002_auto_20200107_2248.py,26,20,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\admin.py,8,6,0,0,2,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\apps.py,9,5,0,0,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\models.py,127,98,0,17,29,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\myFile.py,16,11,0,0,5,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\serializers.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\services.py,499,441,17,75,58,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\tests.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\urls.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\views.py,7,4,0,0,3,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\api\serializers.py,28,19,0,0,9,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\api\urls.py,23,19,0,0,4,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\api\views.py,179,140,5,36,39,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0001_initial.py,74,67,3,0,7,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0002_auto_20200107_2200.py,70,64,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0003_user_active.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0004_auto_20200126_2035.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0005_auto_20200204_2235.py,28,22,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0006_auto_20200204_2241.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0007_auto_20200207_1358.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0008_user_is_verified.py,21,15,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0009_organizerrequest.py,33,27,1,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0010_organizerrequest_organizer.py,23,17,0,0,6,0,0,0,0,0
C:\Users\USAMA\Desktop\EventHub\users\migrations\0011_auto_20200328_1350.py,23,17,0,0,6,0,0,0,0,0
